,SYMBOL
1,21STCENMGM
2,3MINDIA
4,5PAISA
13,A2ZINFRA
15,AAREYDRUGS
16,AARON
21,AARVI
28,ABMINTLLTD
37,ADANIGREEN
45,ADSL
46,ADVANIHOTR
49,AFFLE
53,AGROPHOS
54,AHLADA
64,AJOONI
68,AKSHARCHEM
77,ALKYLAMINE
82,ALPA
90,AMDIND
92,AMJLAND
94,ANANTRAJ
96,ANDHRAPAP
100,ANIKINDS
112,APLAPOLLO
116,APOLLOPIPE
121,ARCHIDPLY
123,ARENTERP
129,AROGRANITE
131,ARSHIYA
132,ARSSINFRA
133,ARTEMISMED
143,ASHAPURMIN
160,ATFL
163,ATUL
171,AUTOIND
173,AVANTIFEED
181,AXISCADES
182,AXISCETF
183,AXISGOLD
187,AYMSYNTEX
201,BALKRISIND
207,BANARISUG
215,BANSWRAS
219,BASML
232,BEDMUTHA
243,BHAGERIA
245,BHAGYAPROP
253,BIGBLOC
255,BINDALAGRO
257,BIOFILCHEM
262,BIRLATYRE
283,BRNL
293,BUTTERFLY
305,CAPACITE
310,CARERATING
311,CARTRADE
318,CELEBRITY
319,CENTENKA
327,CEREBRAINT
345,CLEDUCATE
347,CLSEL
348,CMICABLES
352,COFFEEDAY
356,COMPUSOFT
361,CORALFINAC
367,CPSEETF
378,CUBEXTUB
380,CUPID
382,CYBERTECH
385,DABUR
386,DALBHARAT
393,DBREALTY
399,DCMNVL
400,DCMSHRIRAM
402,DECCANCE
409,DELTAMAGNT
411,DENORA
438,DOLAT
441,DPABHUSHAN
450,DTIL
462,EBBETF0423
463,EBBETF0425
467,ECLERX
488,EKC
491,ELECTHERM
502,ENERGYDEV
515,ESSARSHPNG
525,FAIRCHEMOR
531,FEL
532,FELDVR
542,FLUOROCHEM
548,FRETAIL
555,GALAXYSURF
558,GANDHITUBE
559,GANECOS
561,GANESHHOUC
563,GANGESSECU
568,GDL
572,GENESYS
574,GENUSPOWER
579,GFLLIMITED
580,GFSTEELS
588,GISOLUTION
589,GKWLIMITED
593,GLOBAL
602,GNA
613,GOKEX
615,GOKULAGRO
616,GOLDBEES
617,GOLDENTOBC
619,GOLDSHARE
623,GPIL
633,GREENPANEL
634,GREENPLY
636,GRINDWELL
644,GSS
650,GUJAPOLLO
660,HATSUN
675,HDFCMFGETF
685,HERCULES
691,HGINFRA
705,HINDUNILVR
709,HITECH
710,HITECHCORP
713,HLVLTD
715,HMVL
716,HNDFDS
717,HNGSNGBEES
718,HOMEFIRST
726,HTMEDIA
736,HUHTAMAKI
749,ICICIB22
755,ICICIGOLD
757,ICICILOVOL
763,ICICINXT50
764,ICICIPHARM
771,IDBIGOLD
787,IFGLEXPOR
809,IITL
812,IMAGICAA
831,INDLMETER
832,INDNIPPON
834,INDORAMA
838,INDOTHAI
843,INDTERRAIN
846,INEOSSTYRO
856,INOXWIND
861,INTLCONV
873,IRFC
889,ISFT
894,ITDCEM
898,IVZINGOLD
903,JAGRAN
908,JAIPURKURT
924,JINDALPHOT
938,JMA
941,JMTAUTOLTD
942,JOCIL
945,JPOLYINVST
948,JSLHISAR
951,JSWISPL
955,JUBLINDS
960,JUSTDIAL
964,KAJARIACER
965,KAKATCEM
968,KALYANKJIL
972,KANORICHEM
974,KANSAINER
979,KAUSHALYA
981,KAYA
982,KCP
984,KDDL
986,KECL
990,KENNAMET
994,KHADIM
995,KHAICHEM
1001,KILITCH
1007,KIRLOSBROS
1011,KKCL
1020,KOTAKGOLD
1023,KOTAKNV20
1026,KOTHARIPET
1028,KOVAI
1029,KPIGLOBAL
1031,KPRMILL
1034,KRIDHANINF
1038,KSCL
1049,LAGNAM
1055,LAURUSLABS
1073,LINCPEN
1076,LIQUIDETF
1078,LOKESHMACH
1080,LOVABLE
1091,LYKALABS
1101,MADHUCON
1106,MAGADSUGAR
1110,MAHASTEEL
1112,MAHESHWARI
1117,MAHSCOOTER
1121,MALUPAPER
1125,MANAKSIA
1136,MANXT50
1139,MARICO
1151,MAXIND
1154,MAZDA
1158,MBLINFRA
1166,MENONBE
1180,MINDTECK
1183,MIRZAINT
1191,MOGSEC
1195,MOKSH
1198,MOLDTKPAC
1200,MOM100
1210,MPSLTD
1212,MRO-TEK
1214,MSPL
1227,NACLIND
1230,NAHARCAP
1241,NAVKARCORP
1248,NCLIND
1251,NDL
1255,NECLIFE
1260,NESTLEIND
1261,NETF
1264,NETFGILT5Y
1266,NETFLTGILT
1267,NETFMID150
1270,NETFPHARMA
1300,NITIRAJ
1305,NOIDATOLL
1310,NRBBEARING
1321,NUVOCO
1331,OMAXE
1332,OMINFRAL
1343,ORICONENT
1344,ORIENTABRA
1345,ORIENTALTL
1346,ORIENTBELL
1363,PANAMAPET
1364,PAR
1379,PEARLPOLY
1391,PFOCUS
1395,PGHL
1403,PILITA
1412,PNC
1414,PODDARHOUS
1416,POKARNA
1418,POLYMED
1419,POLYPLEX
1421,POONAWALLA
1429,PRAKASH
1431,PRAXIS
1432,PRECAM
1433,PRECOT
1440,PRICOLLTD
1441,PRIMESECU
1451,PSUBNKBEES
1459,QGOLDHALF
1466,RADIOCITY
1473,RAJSREESUG
1476,RAMANEWS
1499,REDINGTON
1501,RELAXO
1510,REPL
1513,REVATHI
1520,RHIM
1523,RITES
1525,RKEC
1533,ROLEXRINGS
1546,RSSOFTWARE
1547,RSWM
1548,RSYSTEMS
1556,RUSHIL
1568,SAKAR
1573,SALONA
1575,SALZERELEC
1579,SANDHAR
1580,SANGAMIND
1584,SANOFI
1585,SANSERA
1591,SASKEN
1594,SATIN
1596,SBICARD
1600,SBIETFQLTY
1606,SCHNEIDER
1608,SDBL
1609,SEAMECLTD
1611,SECURKLOUD
1613,SEPOWER
1615,SERVOTECH
1619,SETFGOLD
1622,SETFNN50
1684,SHAKTIPUMP
1689,SHANTIGEAR
1692,SHAREINDIA
1697,SHIVAMAUTO
1698,SHIVAMILLS
1699,SHIVATEX
1707,SHRENIK
1709,SHREYAS
1712,SHRIRAMEPC
1717,SICAL
1722,SILGO
1729,SINTEX
1730,SIRCA
1733,SIYSIL
1735,SKFINDIA
1736,SKIL
1737,SKIPPER
1738,SKMEGGPROD
1739,SMARTLINK
1750,SOMANYCERA
1751,SOMATEX
1756,SORILINFRA
1757,SOTL
1769,SPLIL
1771,SPTL
1772,SREEL
1826,SUNDARMHLD
1835,SUPPETRO
1836,SUPRAJIT
1837,SUPREMEENG
1839,SURANASOL
1850,SUZLON
1852,SVPGLOB
1854,SWARAJENG
1863,TANLA
1866,TARAPUR
1868,TARMAT
1876,TATACOMM
1886,TATASTLLP
1888,TBZ
1893,TCI
1897,TCPLPACK
1904,TEJASNET
1910,TFCILTD
1912,TGBHOTELS
1918,THOMASCOOK
1923,TIIL
1935,TMRVL
1937,TNPL
1939,TOKYOPLAST
1947,TREJHARA
1949,TRF
1951,TRIGYN
1966,UBL
1967,UCALFUEL
1971,UGARSUGAR
1980,UNIDT
1985,UNITEDTEA
1987,UNIVCABLES
1990,URJA
1994,UTINEXT50
2013,VBL
2022,VHL
2027,VIKASECO
2034,VINEETLAB
2040,VISASTEEL
2042,VISHNU
2046,VLSFINANCE
2052,VSTIND
2065,WELENT
2076,WINDMACHIN
2093,ZEEMEDIA
2096,ZENTEC
2098,ZODIACLOTH
